,index,rate,rest_type,cuisines,cost_for_two,name,online_order,book_table,votes,listed_in(type),location,price_range
3364,4848,3.5,Kiosk,Turkish,300,Tarbouche,1,0,18,Dine-out,Sarjapur Road,Budget
3365,4849,3.9,Quick Bites,Biryani,500,Ajwa Thalassery Biryani,1,1,42,Dine-out,Sarjapur Road,Mid
3366,4850,3.7,Cafe,Cafe,700,Light House Cafe,1,0,94,Dine-out,Marathahalli,Premium
3367,4851,4.1,Cafe,Cafe,200,Chaai Resto,1,0,33,Dine-out,Sarjapur Road,Budget
3368,4853,4.3,Dessert Parlor,Ice Cream,150,Natural Ice Cream,0,0,384,Dine-out,Sarjapur Road,Budget
3369,4854,3.3,Casual Dining,North Indian,600,Nanda's,1,0,213,Dine-out,Sarjapur Road,Mid
3370,4855,3.6,Casual Dining,Andhra,500,Reddy's Restaurant,1,0,34,Dine-out,Sarjapur Road,Mid
3371,4856,3.5,Quick Bites,Biryani,600,Hyderabadi Biryani Hub,1,0,45,Dine-out,Sarjapur Road,Mid
3372,4857,2.6,Casual Dining,North Indian,600,Zeeshan,1,0,155,Dine-out,Sarjapur Road,Mid
3373,4858,3.4,Casual Dining,Andhra,400,Abhiruchi Restaurant,1,0,5,Dine-out,Sarjapur Road,Mid
3374,4859,3.2,Quick Bites,South Indian,250,Southinn,1,0,97,Dine-out,Sarjapur Road,Budget
3375,4860,3.2,Quick Bites,Biryani,300,Donne Biriyani House,1,0,126,Dine-out,Sarjapur Road,Budget
3376,4861,3.9,Lounge,European,2500,Chez Nous - Novotel,0,1,125,Dine-out,Marathahalli,Ultra
3377,4863,3.5,Food Court,Arabian,350,B'Town Cafe & Restaurant,0,0,8,Dine-out,Marathahalli,Mid
3378,4864,3.3,Casual Dining,South Indian,600,Wimpie,0,0,4,Dine-out,Sarjapur Road,Mid
3379,4865,3.4,Quick Bites,Chinese,600,Momo Rice Noodles,1,0,68,Dine-out,Sarjapur Road,Mid
3380,4866,3.5,Quick Bites,Arabian,500,Le Charcoal Xpress,1,0,53,Dine-out,Sarjapur Road,Mid
3381,4867,3.2,Quick Bites,North Indian,250,Dhaba Shaba,1,0,61,Dine-out,Sarjapur Road,Budget
3382,4868,2.9,Quick Bites,North Indian,300,Kabab Mandra,1,0,243,Dine-out,Sarjapur Road,Budget
3383,4869,2.2,Quick Bites,South Indian,200,Madurai Idly Shop,0,0,187,Dine-out,Sarjapur Road,Budget
3384,4870,3.5,Mess,Andhra,400,Sree Lakshmi Venkateshwara Andhra Mess,0,0,17,Dine-out,Marathahalli,Mid
3385,4871,3.7,Quick Bites,Andhra,350,Andhra Vilaas,1,0,52,Dine-out,Sarjapur Road,Mid
3386,4872,3.6,Casual Dining,North Indian,650,Baba Da Dhaba,0,1,32,Dine-out,Sarjapur Road,Premium
3387,4875,3.9,Lounge,Continental,1900,Equinox Bar - DoubleTree Suites By Hilton,0,1,52,Dine-out,Sarjapur Road,Luxury
3388,4876,3.6,Casual Dining,North Indian,450,Kidilum,1,0,32,Dine-out,Marathahalli,Mid
3389,4877,3.0,Quick Bites,North Indian,350,Lucknow Central,1,0,21,Dine-out,Marathahalli,Mid
3390,4879,3.3,Quick Bites,Kerala,400,Thiruvithamkoor Restaurant,1,0,294,Dine-out,Sarjapur Road,Mid
3391,4880,3.7,Quick Bites,Biryani,300,Bengaluru's Biryanis Paradise,0,0,26,Dine-out,Marathahalli,Budget
3392,4884,3.1,Casual Dining,North Indian,550,Ghar Ka Chulha,1,0,117,Dine-out,Sarjapur Road,Mid
3393,4886,3.2,Quick Bites,Chinese,300,Shahi Zaikha,1,0,6,Dine-out,Sarjapur Road,Budget
3394,4887,3.6,Beverage Shop,Beverages,300,Lassi Cafe,0,0,23,Dine-out,Sarjapur Road,Budget
3395,4890,3.2,Quick Bites,Biryani,300,Ultra Biriyani Paradise,1,0,4,Dine-out,Sarjapur Road,Budget
3396,4891,3.6,Quick Bites,South Indian,150,Basaveshwara Khanavali,1,0,11,Dine-out,Sarjapur Road,Budget
3397,4892,3.3,Quick Bites,American,500,Quiznos,0,0,17,Dine-out,Sarjapur Road,Mid
3398,4893,3.5,Quick Bites,North Indian,250,Paratha Plaza,0,0,68,Dine-out,Sarjapur Road,Budget
3399,4894,3.5,Quick Bites,Biryani,200,Ambur Star Biryani,0,0,22,Dine-out,Sarjapur Road,Budget
3400,4895,3.1,Quick Bites,North Indian,500,Foodies Hub,1,0,8,Dine-out,Sarjapur Road,Mid
3401,4897,3.2,Quick Bites,Pizza,600,Pizza Stop,1,0,44,Dine-out,Sarjapur Road,Mid
3402,4898,3.1,Quick Bites,Street Food,150,Rampyari Chaiwala Netaji Bhajiawala,1,0,25,Dine-out,Sarjapur Road,Budget
3403,4901,3.4,Quick Bites,North Indian,200,Smokin Bites,1,0,20,Dine-out,Sarjapur Road,Budget
3404,4902,3.2,Quick Bites,Fast Food,150,T Square,1,0,4,Dine-out,Sarjapur Road,Budget
3405,4903,2.9,Quick Bites,North Indian,400,Kabab Magic,1,0,317,Dine-out,Sarjapur Road,Mid
3406,4904,3.2,Quick Bites,Fast Food,250,Rolls Kitchen,1,0,7,Dine-out,Marathahalli,Budget
3407,4913,3.6,Quick Bites,North Indian,300,Hotel Shreekshetra,1,0,10,Dine-out,Sarjapur Road,Budget
3408,4914,3.0,Quick Bites,Biryani,400,Eatwell Restaurant,1,0,8,Dine-out,Sarjapur Road,Mid
3409,4915,3.1,Quick Bites,Biryani,500,Fine Day,0,0,5,Dine-out,Sarjapur Road,Mid
3410,4916,3.3,Quick Bites,Biryani,150,Ambur Biryani Point,0,0,8,Dine-out,Sarjapur Road,Budget
3411,4919,3.7,Quick Bites,Chinese,300,Park N Eat,1,0,16,Dine-out,Marathahalli,Budget
3412,4920,3.2,Quick Bites,Biryani,400,Khan Saheb Grills And Rolls,1,0,135,Dine-out,Sarjapur Road,Mid
3413,4922,3.8,Quick Bites,North Indian,400,Delhi Restaurant,1,0,54,Dine-out,Marathahalli,Mid
3414,4923,3.6,Quick Bites,North Indian,500,Appetite Workstation,1,0,16,Dine-out,Sarjapur Road,Mid
3415,4924,3.2,Casual Dining,North Indian,500,Amrutha Grand Restaurant,1,0,204,Dine-out,Sarjapur Road,Mid
3416,4925,3.8,Quick Bites,Arabian,300,Just Shawarma,1,0,170,Dine-out,Sarjapur Road,Budget
3417,4926,2.9,Casual Dining,Andhra,800,Nandhini Deluxe,0,0,108,Dine-out,Sarjapur Road,Premium
3418,4928,3.5,Quick Bites,Fast Food,300,Rolls On Wheels,0,0,132,Dine-out,Sarjapur Road,Budget
3419,4929,3.1,Casual Dining,Mangalorean,400,Karavali Kitchen,1,0,85,Dine-out,Sarjapur Road,Mid
3420,4934,4.0,Pub,Continental,1300,Xtreme Sports Bar,1,1,942,Drinks & nightlife,Sarjapur Road,Luxury
3421,4935,4.1,"Casual Dining, Bar",Mediterranean,1600,BG's Poolside Bar & Grill,0,1,106,Drinks & nightlife,Bellandur,Luxury
3422,4936,4.4,"Bar, Casual Dining",North Indian,1400,Tipsy Bull - The Bar Exchange,1,1,2182,Drinks & nightlife,Bellandur,Luxury
3423,4937,4.1,Casual Dining,North Indian,1000,Ruh,1,1,3020,Drinks & nightlife,Bellandur,Premium
3424,4938,4.2,"Casual Dining, Pub",European,1700,The Irish House,1,0,793,Drinks & nightlife,Bellandur,Luxury
3425,4939,3.9,Bar,Biryani,1500,Sharaab Factory,1,1,392,Drinks & nightlife,Bellandur,Luxury
3426,4940,3.6,Lounge,North Indian,1500,Skylit - Citrus Hotels,0,1,255,Drinks & nightlife,Bellandur,Luxury
3427,4941,4.2,Club,North Indian,1400,Glassy,0,1,707,Drinks & nightlife,Bellandur,Luxury
3428,4942,3.3,Pub,North Indian,1000,White Horse Pulse Resto Bar,0,0,6,Drinks & nightlife,Bellandur,Premium
3429,4943,3.8,"Lounge, Casual Dining",Finger Food,2000,W XYZ Bar - Aloft Bengaluru Cessna Business Park,0,0,46,Drinks & nightlife,Bellandur,Luxury
3430,4944,4.9,Microbrewery,Continental,1600,Byg Brewski Brewing Company,1,1,16345,Drinks & nightlife,Sarjapur Road,Luxury
3431,4945,4.2,"Microbrewery, Pub",Continental,1400,Hoot,1,1,7193,Drinks & nightlife,Sarjapur Road,Luxury
3432,4946,4.6,"Bar, Casual Dining",American,1500,Sarjapur Social,1,0,1193,Drinks & nightlife,Sarjapur Road,Luxury
3433,4947,4.4,Pub,Continental,1900,OPUS Club,0,1,1496,Drinks & nightlife,Sarjapur Road,Luxury
3434,4948,4.4,"Casual Dining, Bar",North Indian,1500,Float,1,1,3061,Drinks & nightlife,Marathahalli,Luxury
3435,4951,4.1,"Casual Dining, Pub",American,1200,Tapout Tavern,1,1,322,Drinks & nightlife,Sarjapur Road,Luxury
3436,4953,3.9,Lounge,European,2500,Chez Nous - Novotel,0,1,125,Drinks & nightlife,Marathahalli,Ultra
3437,4954,4.1,"Casual Dining, Bar",Mediterranean,1600,BG's Poolside Bar & Grill,0,1,106,Pubs and bars,Bellandur,Luxury
3438,4955,4.4,"Bar, Casual Dining",North Indian,1400,Tipsy Bull - The Bar Exchange,1,1,2182,Pubs and bars,Bellandur,Luxury
3439,4956,4.6,"Microbrewery, Pub",North Indian,1400,Vapour Brewpub and Diner,0,1,2726,Pubs and bars,Sarjapur Road,Luxury
3440,4957,4.2,"Casual Dining, Pub",European,1700,The Irish House,1,0,793,Pubs and bars,Bellandur,Luxury
3441,4958,4.5,"Casual Dining, Bar",American,1800,Chili's American Grill & Bar,1,1,1365,Pubs and bars,Bellandur,Luxury
3442,4959,3.9,Bar,Biryani,1500,Sharaab Factory,1,1,392,Pubs and bars,Bellandur,Luxury
3443,4960,4.1,"Casual Dining, Bar",North Indian,1100,Punjabi Times,1,1,1691,Pubs and bars,Bellandur,Luxury
3444,4961,3.3,Pub,North Indian,1000,White Horse Pulse Resto Bar,0,0,6,Pubs and bars,Bellandur,Premium
3445,4962,3.6,"Casual Dining, Bar",North Indian,500,Atithi Family Bar & Restaurant,1,0,31,Pubs and bars,Bellandur,Mid
3446,4963,4.8,"Casual Dining, Bar",North Indian,1500,The Black Pearl,0,1,7023,Pubs and bars,Marathahalli,Luxury
3447,4964,4.2,"Microbrewery, Pub",Continental,1400,Hoot,1,1,7193,Pubs and bars,Sarjapur Road,Luxury
3448,4965,4.4,"Casual Dining, Bar",Seafood,1400,The Fisherman's Wharf,1,1,4099,Pubs and bars,Sarjapur Road,Luxury
3449,4966,4.6,"Bar, Casual Dining",American,1500,Sarjapur Social,1,0,1193,Pubs and bars,Sarjapur Road,Luxury
3450,4967,4.4,Pub,Continental,1900,OPUS Club,0,1,1496,Pubs and bars,Sarjapur Road,Luxury
3451,4968,4.4,"Casual Dining, Bar",North Indian,1500,Float,1,1,3061,Pubs and bars,Marathahalli,Luxury
3452,4970,4.7,"Bar, Casual Dining",Goan,1500,Opus Food Stories,0,1,163,Pubs and bars,Sarjapur Road,Luxury
3453,4971,4.1,"Casual Dining, Pub",American,1200,Tapout Tavern,1,1,322,Pubs and bars,Sarjapur Road,Luxury
3454,4973,4.3,Casual Dining,North Indian,1500,Ebony,1,1,3126,Buffet,MG Road,Luxury
3455,4974,3.8,Casual Dining,North Indian,1200,Parika Multicuisine Restaurant,1,1,203,Buffet,Richmond Road,Luxury
3456,4975,4.0,Casual Dining,Japanese,1500,Kitchen On Table,1,0,48,Buffet,Brigade Road,Luxury
3457,4976,4.0,Casual Dining,Rajasthani,800,Panchavati Gaurav Thali,1,1,929,Buffet,Brigade Road,Premium
3458,4977,2.8,Casual Dining,North Indian,650,Saatvikk,0,0,130,Buffet,Brigade Road,Premium
3459,4978,3.9,Casual Dining,Chinese,1000,70 Brigade - Iris Hotel,0,1,105,Buffet,Brigade Road,Premium
3460,4979,3.6,Casual Dining,North Indian,700,Monarch,0,0,10,Buffet,Brigade Road,Premium
3461,4980,4.5,Casual Dining,Mediterranean,1800,Olive Bar And Kitchen,0,1,2194,Buffet,Richmond Road,Luxury
3462,4981,4.4,Fine Dining,North Indian,2200,JW Kitchen - JW Marriott Bengaluru,0,1,2111,Buffet,Lavelle Road,Ultra
3463,4982,4.0,Casual Dining,Thai,2100,The Tao Terraces,1,1,1909,Buffet,MG Road,Ultra
3464,4983,4.6,Fine Dining,Thai,3000,Rim Naam - The Oberoi,0,0,979,Buffet,MG Road,Ultra
3465,4984,4.4,"Casual Dining, Bar",Bengali,1200,Oh! Calcutta,1,1,1105,Buffet,Church Street,Luxury
3466,4985,4.3,Fine Dining,American,2800,Caraway Kitchen - Conrad Bengaluru,0,1,148,Buffet,Ulsoor,Ultra
3467,4986,4.5,"Casual Dining, Bar",Chinese,1700,Mainland China,1,1,1394,Buffet,Church Street,Luxury
3468,4987,4.3,Casual Dining,Rajasthani,1400,Rasovara,1,1,763,Buffet,Lavelle Road,Luxury
3469,4988,4.4,Casual Dining,North Indian,1600,Barbeque Nation,0,1,1065,Buffet,Ulsoor,Luxury
3470,4989,4.3,Fine Dining,European,2500,Cubbon Pavilion - ITC Gardenia,0,1,678,Buffet,Richmond Road,Ultra
3471,4990,4.0,Casual Dining,North Indian,750,Empire Restaurant,1,0,3209,Buffet,Church Street,Premium
3472,4991,4.3,Fine Dining,European,3000,Le Jardin - The Oberoi,0,0,687,Buffet,MG Road,Ultra
3473,4992,3.8,Casual Dining,BBQ,1500,BBQ@52,0,1,64,Buffet,MG Road,Luxury
3474,4993,4.1,Casual Dining,North Indian,500,Konark Vegetarian Restaurant,0,0,1022,Buffet,Residency Road,Mid
3475,4994,4.2,"Casual Dining, Bar",North Indian,1000,The Spice Bazaar,0,1,347,Buffet,Lavelle Road,Premium
3476,4995,4.3,"Casual Dining, Microbrewery",BBQ,1500,BBQ'D - Global Grill & Brewery,0,0,471,Buffet,Lavelle Road,Luxury
3477,4996,4.3,Fine Dining,North Indian,3400,The Market - The Ritz-Carlton,0,1,622,Buffet,Residency Road,Ultra
3478,4997,3.9,Fine Dining,Asian,2000,WelcomCafe Jacaranda - WelcomHotel Bengaluru,0,0,53,Buffet,Richmond Road,Luxury
3479,4998,4.3,Casual Dining,North Indian,1200,Season - Adarsh Hamilton,0,1,334,Buffet,Richmond Road,Luxury
3480,4999,3.9,"Casual Dining, Bar",North Indian,1700,Puran da Dhaba - The Pride Hotel,1,0,169,Buffet,Richmond Road,Luxury
3481,5000,4.2,Casual Dining,Chinese,1200,Red Onion,1,1,576,Buffet,Shanti Nagar,Luxury
3482,5001,4.3,Casual Dining,Italian,1600,Cafe Mangii,1,1,1048,Buffet,Lavelle Road,Luxury
3483,5002,3.9,Fine Dining,North Indian,2000,Ithaca - The Chancery Pavilion,0,1,310,Buffet,Residency Road,Luxury
3484,5003,4.0,"Casual Dining, Bar",North Indian,1300,Tiger Trail - Ramada Hotel,1,1,188,Buffet,Shivajinagar,Luxury
3485,5004,3.9,Casual Dining,North Indian,2200,Citrus Cafe - Lemon Tree Premier,0,0,183,Buffet,Ulsoor,Ultra
3486,5005,3.9,Casual Dining,Chinese,1300,The Oriental Spice - Ashraya Hotel,1,0,158,Buffet,Infantry Road,Luxury
3487,5006,3.8,Casual Dining,Italian,1600,Pinxx - Royal Orchid Central,1,1,198,Buffet,MG Road,Luxury
3488,5007,4.2,Fine Dining,Italian,3000,Monsoon - The Park Bangalore,0,1,271,Buffet,MG Road,Ultra
3489,5008,4.1,Casual Dining,Continental,1000,Cafe Treat - The Pride Hotel,1,0,119,Buffet,Richmond Road,Premium
3490,5009,3.1,"Casual Dining, Bar",North Indian,1200,South Parade - The Chancery Hotel,0,0,120,Buffet,Lavelle Road,Luxury
3491,5010,2.8,Casual Dining,North Indian,1000,Mint Masala,0,0,253,Buffet,Infantry Road,Premium
3492,5011,3.9,Casual Dining,North Indian,1400,Curry with a 'K' - St. Mark's Hotel,0,0,89,Buffet,St. Marks Road,Luxury
3493,5012,3.9,Casual Dining,North Indian,1900,Northern Gate- Gateway Hotel,0,1,100,Buffet,Residency Road,Luxury
3494,5013,3.0,Casual Dining,North Indian,800,Canopy,0,0,107,Buffet,MG Road,Premium
3495,5014,3.7,"Casual Dining, Cafe",Chinese,1000,Cafe @ Elanza,0,0,145,Buffet,Richmond Road,Premium
3496,5015,3.5,Bar,Finger Food,2200,The Hub - Ibis Hotel,0,0,29,Buffet,Richmond Road,Ultra
3497,5016,2.9,Casual Dining,Continental,1000,Tiffanys,0,0,31,Buffet,Shanti Nagar,Premium
3498,5017,3.0,Casual Dining,North Indian,1000,Nithyothsav - Hotel Ramanashree,0,0,31,Buffet,MG Road,Premium
3499,5018,3.8,Casual Dining,North Indian,800,Cafe Monarch Luxur,0,0,23,Buffet,Infantry Road,Premium
3500,5019,3.7,Casual Dining,South Indian,500,Sunehri,0,0,67,Buffet,Richmond Road,Mid
3501,5020,3.8,Casual Dining,Continental,1100,Bazaar- Zone By The Park,0,1,52,Buffet,Infantry Road,Luxury
3502,5021,3.3,Casual Dining,North Indian,600,VT Sindhur Veg,0,0,13,Buffet,Richmond Road,Mid
3503,5022,3.8,Casual Dining,North Indian,1200,Spice It,0,0,52,Buffet,Richmond Road,Luxury
3504,5023,2.3,Casual Dining,Chinese,650,Woody's,0,0,116,Buffet,Richmond Road,Premium
3505,5024,4.0,Lounge,North Indian,1300,Skylit - Citrus Hotels,0,1,324,Buffet,Cunningham Road,Luxury
3506,5025,4.2,Casual Dining,North Indian,1700,Banjara Melting Pot,1,1,474,Buffet,Cunningham Road,Luxury
3507,5026,3.8,Casual Dining,North Indian,1800,Zodiac - Fortune Select JP Cosmos Hotel,1,1,91,Buffet,Cunningham Road,Luxury
3508,5027,3.7,Casual Dining,South Indian,1600,One Atria Cafe,0,1,100,Buffet,Race Course Road,Luxury
3509,5028,3.1,Casual Dining,Asian,1000,24 Carats - The Capitol,0,0,46,Buffet,Cunningham Road,Premium
3510,5029,3.9,Casual Dining,North Indian,1100,BISO - Citrus Hotels,0,1,156,Buffet,Cunningham Road,Luxury
3511,5030,4.2,Cafe,Cafe,750,BLOW,1,1,935,Cafes,Church Street,Premium
3512,5031,4.3,Cafe,Cafe,1200,Cafe Azzure,1,1,2660,Cafes,MG Road,Luxury
3513,5032,4.0,Cafe,Cafe,450,The Flying Squirrel,0,0,24,Cafes,Brigade Road,Mid
3514,5033,4.2,Cafe,Cafe,500,Trick Or Treat,0,0,618,Cafes,Brigade Road,Mid
3515,5034,3.8,Cafe,Cafe,650,Fatso's,1,0,72,Cafes,Brigade Road,Premium
3516,5035,3.6,Quick Bites,Continental,800,Yomama!!,0,0,7,Cafes,Brigade Road,Premium
3517,5036,3.2,Cafe,Cafe,600,Cafe Coffee Day,0,0,9,Cafes,Brigade Road,Mid
3518,5037,2.8,Cafe,Cafe,700,Hashtag Cafe,0,0,43,Cafes,Brigade Road,Premium
3519,5038,3.2,Cafe,Cafe,600,Smokie Brownie,1,0,7,Cafes,Brigade Road,Mid
3520,5040,3.6,Cafe,Cafe,800,Bon Sante,1,0,104,Cafes,Brigade Road,Premium
3521,5041,3.6,Cafe,Cafe,350,Kalmane Koffees,0,0,46,Cafes,Brigade Road,Mid
3522,5042,4.6,Cafe,Cafe,1100,Brik Oven,0,0,2257,Cafes,Church Street,Luxury
3523,5043,4.2,"Casual Dining, Cafe",Italian,800,Green Theory,1,1,2838,Cafes,Residency Road,Premium
3524,5044,4.5,Cafe,Cafe,900,Truffles,0,0,3568,Cafes,St. Marks Road,Premium
3525,5045,4.4,"Casual Dining, Cafe",American,1700,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,1,1,690,Cafes,MG Road,Luxury
3526,5046,4.0,Cafe,Cafe,1000,The White Room - Coffee & Kitchen,0,1,1701,Cafes,Church Street,Premium
3527,5047,4.3,Cafe,Cafe,600,Matteo Coffea,0,0,2635,Cafes,Church Street,Mid
3528,5048,4.4,"Bakery, Cafe",Bakery,600,Glen's Bakehouse,1,0,1084,Cafes,Lavelle Road,Mid
3529,5049,4.1,"Casual Dining, Cafe",North Indian,2500,Cafe Mozaic - Taj MG Road Bengaluru,0,1,563,Cafes,MG Road,Ultra
3530,5050,4.3,Cafe,Cafe,650,Smally's Resto Cafe,1,0,3547,Cafes,Church Street,Premium
3531,5051,4.3,"Bakery, Cafe",Salad,1400,Bengaluru Baking Company - JW Marriott Bengaluru,0,0,521,Cafes,Lavelle Road,Luxury
3532,5052,4.2,Cafe,Cafe,750,Cafe Kaara,0,0,160,Cafes,Ulsoor,Premium
3533,5053,4.3,Cafe,Cafe,400,Japan Travel Cafe Azuki,0,0,67,Cafes,Residency Road,Mid
3534,5054,4.3,"Cafe, Casual Dining",Cafe,900,Little Green Cafe,0,0,786,Cafes,Church Street,Premium
3535,5055,4.1,Cafe,Cafe,800,Fabcafe,1,1,54,Cafes,MG Road,Premium
3536,5056,4.1,Cafe,BBQ,700,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Mor'ish,1,0,114,Cafes,Richmond Road,Premium
3537,5057,4.3,Cafe,Cafe,700,Skoolroom,1,0,566,Cafes,Ulsoor,Premium
3538,5058,4.0,"Dessert Parlor, Cafe",Desserts,500,Lakeview Milkbar,0,0,1443,Cafes,MG Road,Mid
3539,5059,4.1,Cafe,Cafe,700,Wolf'ish,1,0,460,Cafes,Church Street,Premium
3540,5060,3.9,"Cafe, Casual Dining",Cafe,800,Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,1,0,461,Cafes,Ulsoor,Premium
3541,5061,4.3,Cafe,Cafe,800,Peppa Zzing,1,0,1133,Cafes,Infantry Road,Premium
3542,5062,3.9,Cafe,Cafe,750,The Courtyard,0,1,296,Cafes,Shanti Nagar,Premium
3543,5063,4.2,Cafe,Cafe,700,Marzipan @ The Bohemian House,1,0,50,Cafes,Richmond Road,Premium
3544,5064,3.6,"Cafe, Casual Dining",Cafe,650,Cafe Imroze,1,0,95,Cafes,Infantry Road,Premium
3545,5065,3.8,Cafe,Cafe,700,Starbucks,0,0,34,Cafes,MG Road,Premium
3546,5066,4.0,Cafe,Cafe,750,KAARA BY THE LAKE,0,0,47,Cafes,Ulsoor,Premium
3547,5067,4.2,"Cafe, Bakery",Cafe,500,Happy Belly Bakes,1,0,115,Cafes,MG Road,Mid
3548,5068,4.2,"Casual Dining, Cafe",Lebanese,1000,Cafe Cassia& Deli,0,0,115,Cafes,Ulsoor,Premium
3549,5069,3.4,Cafe,Cafe,300,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,1,0,9,Cafes,Shivajinagar,Budget
3550,5070,3.7,"Cafe, Bakery",Cafe,1000,The Blackboard Bakery,0,1,91,Cafes,Lavelle Road,Premium
3551,5072,4.0,"Dessert Parlor, Quick Bites",Cafe,400,WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,85,Cafes,Residency Road,Mid
3552,5073,4.1,"Cafe, Quick Bites",Cafe,1200,Fresh Pressery Cafe,0,0,104,Cafes,Lavelle Road,Luxury
3553,5074,4.0,Cafe,Cafe,800,The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,0,0,30,Cafes,Richmond Road,Premium
3554,5075,3.9,"Beverage Shop, Cafe",Cafe,500,Tata Cha,1,0,66,Cafes,Church Street,Mid
3555,5076,4.2,Cafe,Pizza,500,Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,0,382,Cafes,Ulsoor,Mid
3556,5077,3.8,"Beverage Shop, Quick Bites",Beverages,350,Haji Ali Juice Centre,0,0,22,Cafes,MG Road,Mid
3557,5078,3.4,Cafe,Cafe,600,Driven Cafe,1,0,122,Cafes,Residency Road,Mid
3558,5079,3.9,Cafe,Cafe,800,Soul Cafe,0,1,315,Cafes,MG Road,Premium
3559,5080,3.7,Cafe,Cafe,300,Barista,0,0,35,Cafes,Shanti Nagar,Budget
3560,5081,3.8,Cafe,Cafe,2200,The Lobby Brew - Conrad Bengaluru,0,1,25,Cafes,Ulsoor,Ultra
3561,5082,3.7,"Casual Dining, Cafe",Chinese,1000,Cafe @ Elanza,0,0,145,Cafes,Richmond Road,Premium
3562,5083,3.0,Cafe,Cafe,700,Cafe 22,0,0,11,Cafes,Church Street,Premium
3563,5084,3.7,Cafe,Cafe,250,Chai Ki Tapri,0,0,16,Cafes,MG Road,Budget
3564,5085,3.9,Cafe,Cafe,500,Cafe Aladdin,0,0,74,Cafes,St. Marks Road,Mid
3565,5086,3.8,Cafe,Cafe,600,Cafe Cerrise,0,0,99,Cafes,Ulsoor,Mid
3566,5089,3.7,Cafe,Cafe,50,Savera Cafe,0,0,11,Cafes,Shivajinagar,Budget
3567,5091,3.3,Cafe,Cafe,400,Norsha Caffe,1,0,6,Cafes,Commercial Street,Mid
3568,5093,3.6,"Cafe, Quick Bites",Cafe,200,Little Bites,0,0,7,Cafes,MG Road,Budget
3569,5095,3.1,Cafe,Cafe,400,Dasaprakash Cafe,0,0,10,Cafes,MG Road,Mid
3570,5096,3.3,Cafe,Cafe,400,The Bao Belly,0,0,9,Cafes,Residency Road,Mid
3571,5100,3.8,Cafe,Cafe,700,The Coffee Bean & Tea Leaf,1,0,260,Cafes,MG Road,Premium
3572,5101,4.1,"Casual Dining, Cafe",Continental,900,Berrylicious Cafe,1,0,124,Cafes,MG Road,Premium
3573,5103,4.7,"Pub, Cafe",North Indian,1300,Hammered,1,1,4639,Cafes,Cunningham Road,Luxury
3574,5104,4.3,"Cafe, Dessert Parlor",Cafe,750,Dolci Desserts,1,0,652,Cafes,Cunningham Road,Premium
3575,5105,3.7,"Cafe, Dessert Parlor",Cafe,1100,The Culinarium,0,0,19,Cafes,Vasanth Nagar,Luxury
3576,5106,4.3,"Casual Dining, Cafe",Continental,1000,Infinitea Tea Room & Tea Store,1,1,858,Cafes,Cunningham Road,Premium
3577,5107,4.2,Cafe,Cafe,750,Mudpipe Cafe,1,0,739,Cafes,Cunningham Road,Premium
3578,5108,3.5,Cafe,Cafe,500,Chels Cafe,1,0,20,Cafes,Cunningham Road,Mid
3579,5111,3.1,Cafe,Cafe,200,Talk Ease,0,0,10,Cafes,City Market,Budget
3580,5112,3.5,Cafe,Cafe,800,Tea and Wine Lounge,0,0,10,Cafes,Race Course Road,Premium
3581,5113,4.1,Quick Bites,Healthy Food,300,eat.fit,1,1,94,Delivery,Church Street,Budget
3582,5114,3.6,Quick Bites,Kebab,500,Kabab Souq,1,0,112,Delivery,Richmond Road,Mid
3583,5115,3.9,Quick Bites,Kerala,300,Kerala Pavilion,1,0,302,Delivery,Domlur,Budget
3584,5116,4.0,Quick Bites,Biryani,300,Donne Biriyani House,1,0,473,Delivery,Indiranagar,Budget
3585,5117,4.3,Quick Bites,Burger,500,Leon Grill,1,0,284,Delivery,St. Marks Road,Mid
3586,5118,3.8,Delivery,Healthy Food,450,FreshMenu,1,0,377,Delivery,Richmond Road,Mid
3587,5119,4.1,Beverage Shop,Beverages,150,Sri Ganesh Juice Junction,1,0,210,Delivery,Koramangala 8th Block,Budget
3588,5120,4.0,Quick Bites,Burger,600,Burger King,1,0,1393,Delivery,Indiranagar,Mid
3589,5121,3.9,Casual Dining,Biryani,800,Shanmukha,1,0,142,Delivery,Old Airport Road,Premium
3590,5122,3.3,Quick Bites,North Indian,300,New Taj,1,0,111,Delivery,Ulsoor,Budget
3591,5123,3.5,Quick Bites,South Indian,150,Sandhya Veg,1,0,55,Delivery,Brigade Road,Budget
3592,5124,4.1,"Quick Bites, Dessert Parlor",Burger,550,Dunkin' Donuts,1,0,1079,Delivery,Brigade Road,Mid
3593,5125,4.0,Quick Bites,Fast Food,350,Khan Saheb Grills and Rolls,1,0,1072,Delivery,Indiranagar,Mid
